ts,doc,http_status,success,id_alegra,numero,CUFE,error
2025-10-31T14:46:00,10445,200,true,193,192,"51466d2152d059b7f6979b11b60e0dc931a052e57ef10bdd52cd157ca18daf589123812c783ea36fee8366dc10101c99",""
2025-10-31T14:46:08,10446,200,true,194,193,"91104ca6c0e752aa7255641915fee077a681a76dcae8bbdbd983683e6beb9af721d3c12eba29ef5ea85b76f43a1df145",""
2025-10-31T14:46:15,10447,200,true,195,194,"7042c90b8fc7eae880cde432a4b92dd07e388609818a56706809b2ff8c1c74b54de0ca873e950f6a30b3832b00af6259",""
2025-10-31T14:46:33,10448,200,true,196,195,"d1491da8ee830d6e0df73bff484c2baa9d798b2889789990d736f58780b75cf38b96ec10813f9fdc0e2fc6549a7b0851",""
2025-10-31T14:46:47,10449,200,true,197,196,"c368801cd90f401b33c61b5061b75b169bd23cf0292e89cccdc9181b37aad7b51899b03cb6c4b0689f6bbe67d14d9081",""
2025-10-31T14:47:05,10450,200,true,198,197,"6320c19572c9b1a1c545635c6f122c1c0c1ab67530229802b0eb7d9fb5593acbc2b1b95fa39b24b3b816ab4bbe38488a",""
2025-10-31T14:47:24,10451,200,true,199,198,"fcd814a8ba5fd926d0b60829fae379122dd5c1dfb5a6bf37555ce1d33f38b4180974c9ffdfda589778bf7a6955af6903",""
2025-10-31T14:47:41,10452,200,true,200,199,"9c7bebd42d2d8552c4ee37e871c11473260190b65a1386a2639260331af20931c0cf3575c04106f092e7858d38aa676c",""
2025-10-31T14:48:02,10453,200,true,201,200,"012f1312cf4a22ddc16b2d4799ae6dea285bf0bc9b876ca661d18ac1837caa9b2f1ee7b63716719cfba9f143eabd9c84",""
2025-10-31T14:48:14,10454,200,true,202,201,"a882e00fface26b38aab3c3ba6ec121a28cefdd8f34282ac5fe0ad6463b0c48171ec4d7843d80eac28dfb04c6807f852",""
2025-10-31T14:50:27,10454,200,true,203,202,"bbc8a0d130886bf55b3dc0cda1a0c0d975384e0cadfcdf1080eb750df1e71d40bb4ad712eac2adb90fef50fa1b24ad1a",""
2025-10-31T14:50:34,10455,200,true,204,203,"3e2eeed31a07df0b0f3add99c320ee4544b6998df24e99d739edfbda58ada2e0261d0a967256a7726a6d2ae4f81152f0",""
2025-10-31T14:50:45,10456,200,true,205,204,"abea0d6b6701b9b27a51f2dd15ee757a6fcea89fbf9d6adde9a5e0244081f7669f2ec4d178fef351c07ef576aba6c834",""
2025-10-31T14:51:02,10457,200,true,206,205,"4f3009b456d18a0291322b17759013d24da4069a4d35389c08bd94e76a9e63fcd8efed8165c81a3a0cacc947cc1a0b40",""
2025-10-31T14:51:19,10458,200,true,207,206,"e635fd3eeaae7e66ddf7997359a11056afe17f1e6939910ca22c081a2608c23170ad5b838b093f0219d428910270e1b5",""
2025-10-31T14:51:40,10459,200,true,208,207,"ba3873f94bb9b9275364a79322fc26043eb6ef117434a6799624fa205d5b65185311fc4c729f529f120d81d5ebcc1d7a",""
2025-10-31T14:51:54,10460,200,true,209,208,"01fc03fb6879da589999589076794b46ba6b0f143628459090a8dff58e3a91560891eb42e44f4194b3ad2c7067da1b82",""
2025-10-31T14:52:11,10461,200,true,210,209,"741629fd917be020cc21b89c73d746f53a0438c69b795362d35b3f2a60156ff467fdffe53df6b7536d02e841d115c9b1",""
2025-10-31T14:52:22,10462,200,true,211,210,"433310b4d27b661feee74ead13aeb6d7757a31c1014aac7e7a855b76e4f646187faa923148f1cb8cbe97a9a030985635",""
2025-10-31T14:52:36,10463,200,true,212,211,"243368423f1f229ff7d59664d6373c7473e2d155b9f281888b9b82fa9b020205b01d4e359590355d9c3279154b02336d",""
2025-10-31T14:56:47,10463,200,true,213,212,"f66781c3d539ea67032ae6ee00afab33a1fd60b473b616890659004e18ed31696996b0f2fb56ddbadb56052853a9d45a",""
2025-10-31T14:56:54,10464,200,true,214,213,"3926b03de52b7a1b183c4427a81e2fa96fe911cc1489fde8fba0d4a40b38628b59ce06203ca0106a0aad82460415004e",""
2025-10-31T14:57:02,10465,200,true,215,214,"c31a49f1f56b6f7dc1915260e34c1b2dfd596406909f1295cf5ab01693ea4e8342b3ce869c123ae79d887ef8ead4f943",""
2025-10-31T14:57:20,10466,200,true,216,215,"952219fc64811b6c353224722928be1477b2541108b369f7c4a41ed4de0efe8704ba82be95f342f50ce4299c28ed6162",""
2025-10-31T14:57:31,10467,200,false,,,"",""
2025-10-31T14:57:35,10468,200,true,217,216,"b27587f010e1506d5b71616f89a972ed04dc648995b9f0a7e9cf9b2880d157cd05e66072b7b3fe76829b6e0db552ea05",""
2025-10-31T14:57:52,10469,200,true,218,217,"c18cbffc1a9d682ad8f33673671ae8283b26edb711a1e8b1063beca811718c8e114f74c91b6b2c26646ca8f236c1d287",""
